---
venue: hot metal blues
---
"#","Album","Artist","Title","Key","BPM","Duration"
"1","","Ruth Brown","5-10-15 Hours","D♭","121.900135922465","03:12"
"2","The Very Best of Marvin Gaye","Marvin Gaye","Your Precious Love","B♭","101.38714893617","03:05"
"3","","Karen Souza","Have You Ever Seen The Rain","C","78","04:10"
"4","","Carolina Chocolate Drops","Knockin'","Bm","83.2557569721116","05:28"
"5","Smokestack Lightning: The Complete Chess Masters 1951-1960 CD 2","Howlin' Wolf","I'm The Wolf","Em","76.2350774520403","02:53"
"6","Anthology","Muddy Waters","She's Nineteen Years Old","Bm","136.813714285714","03:16"
"7","My One And Only Thrill","Melody Gardot","Your Heart Is As Black As Night","Cm","72","02:44"
"8","Complete Collection","B. B. King","The Thrill Is Gone","Bm","90.5153695354052","05:24"
"9","","Leftover Cuties","Clarity","G","83.8115109480371","04:22"
"10","","Koko Taylor","I'd Rather Go Blind","A♭","130.859793186169","04:57"
"11","Reflections","B.B. King","I'll String Along with You","E♭","127.07369118224","03:32"
"12","Let Them Talk","Hugh Laurie","Let Them Talk","C","73.8281469142314","04:10"
"13","Gordon Webster Meets Hetty Kate","Gordon Webster & Hetty Kate","I Lost My Sugar in Salt Lake City","Gm","85.2138235294118","05:15"
"14","I Put a Spell on You","Nina Simone","I Put A Spell On You","F♯m","78.04","02:38"
"15","Ladies Man","Pinetop Perkins","Kansas City","C","121","04:44"
"16","Didn't it rain","Hugh Laurie","Send Me To The 'Lectric Chair","Dm","73.6560834534264","05:27"
"17","","Leftover Cuties","Can't Help Falling In Love With You (Acoustic)","C","84.0409135550023","02:33"
"18","Clapton","Eric Clapton","Rocking Chair","A","79.742861169684","04:04"
"19","","Ben L'oncle Soul","Feeling Good","Gm","82.6541584158416","04:12"

