---
venue: cedars
---
"#","Album","Artist","Title","Key","BPM","Duration"
"1","Kingdom Of Swing","Adrianna Marie","Sidecar Mama","D","172.256130753447","04:13"
"2","Happy Talk","Kermit Ruffins","More Today Than Yesterday","Dm","162.783892051028","04:00"
"3","Jump For Joy","Boilermaker Jazz Band","This Can't Be Love","Cm","192.748541666667","03:00"
"4","","Glenn Crytzer and his Syncopators","Wallingford Wiggles","F","118.697286432161","04:37"
"5","The Devils' Music","Naomi & Her Handsome Devils","I'm Livin' in a Great Big Way","C","155","03:33"
"6","","Blues Beatles","A Hard Days Night (Live) 2017","G","135.316614906832","04:13"
"7","Runaround Sue","Dion","Runaround Sue","E♭","161.05008456515","02:34"
"8","This.","Gordon Webster","Hallelujah, I Love Her So","Gm","148","03:34"
"9","Deep Sea Ball - The Best Of Clyde McPhatter","Clyde McPhatter","A Lover's Question","A♭","166.277164545128","02:36"
"10","Fresh","Bria Skonberg","Why Do Fools Fall in Love","F","172","02:21"
"11","Battle Axe","Mint Julep Jazz Band","When I Get Low I Get High","Dm","202.468938547486","03:29"
"12","","Girls From Mars","Take The A Train","C","165.731341463415","04:09"
"13","","Southside Aces","Five O'Clock Drag","B♭","139.405927155462","03:58"
"14","Kingdom Of Swing","Adrianna Marie","Better Beware","B♭","172.611776649746","04:03"
"15","","Bill Haley & His Comets","Rock Around The Clock","A","180.212755315683","02:10"
"16","","The Jive Aces","La Dulche Vita","B♭","160.189002644965","03:14"
"17","Goody Goody","Tsubasa","Goody Goody","F","200","02:00"
"18","All the Cats Join In","IKS Big Band","It's Only a Paper Moon","B♭","129.929414225941","03:29"
"19","You Do Something To Me","Boilermaker Jazz Band","Says My Heart","Dm","183.733554524778","03:13"
"20","Happy When I'M With You","Gordon Webster","Twenty Four Robbers","Fm","205.069655199247","02:40"
"21","Spreadin' Rhythm Around","Chelsea Reed and the Fair Weather Five","Love Is Here to Stay","D♭","114.405084745763","04:46"
"22","Photographs & Memories: His Greatest Hits","Jim Croce","Bad, Bad Leroy Brown","G","148.050597319425","03:03"
"23","Stockholm Concert 1966 (Remastered)","Duke Ellington and Ella Fitzgerald","Let's Do It (Live)","B♭","99.7076064780541","04:10"
"24","The Ultimate Collection - Disc 1","Ray Charles","Hit The Road Jack","C♯m","173.133468723899","01:59"
"25","Betcha Bottom Dollar","The Puppini Sisters","I Will Survive","Am","126","04:04"
"26","","Professor Cunningham And His Old School","High Degree","Gm","158.16549215717","03:04"
"27","","Jo Stafford","Whatcha Know Joe","B♭","132.521564535521","02:44"
"28","","Postmodern Jukebox","I Want It That Way","Cm","107.683791692497","03:11"
"29","This.","Gordon Webster","School Days","A♭","164.545727549607","04:00"
"30","","Raffi","Banana Phone","Em","182.490014675626","03:16"
"31","The Dirty Boogie","Brian Setzer Orchestra","Rock This Town","D","210.192252061039","06:38"
"32","With Cousin Joe, Sonny Joe and Grampa Joe","Lewis Franco & the Missing Cats Featuring the Brown Eyed Girls","Don't Fix It","C","130","03:21"
"33","Fresh","Bria Skonberg","L.O.V.E.","F","154.140330033003","02:34"
"34","Bette Midler Sings The Peggy Lee Songbook","Bette Midler","Alright, Okay, You Win (Album Version)","F♯m","131.516919191919","02:48"
"35","","Cable Street Rag Band","Panama","A♭","201.257742761662","04:12"
"36","Duets and Duets II - 90Th Birthday Limited Collector's Edition (Disc 2)","Frank Sinatra (feat. Jimmy Buffett)","Mack the Knife","D","154.287307181584","04:27"
"37","","Boilermaker Jazz Band","Love Me Or Leave Me","Dm","130.811348837209","03:15"
"38","","Barbara Rosene","I'm Wild About That Thing","Cm","111.228866666667","05:09"
"39","Kingdom Of Swing","Adrianna Marie","One Sweet Letter","F","129.1195","04:39"
"40","Swipe Right For Vintage","Scott Bradlee's Postmodern Jukebox","Lovefool","F♯m","124","04:00"
"41","The Greatest Hits","Norah Jones","Come Away With Me","C","85.3683654026325","03:06"
"42","","Eight To The Bar","Walk Of Shame","Cm","110.152830188679","03:40"
"43","","Cash Box Kings","Download Blues","Fm","106","03:48"
"44","","Maureen & The Mercury 5","This Isn't Love","F♯/G♭","97.6758983348581","03:10"
"45","","Koko Taylor","I'd Rather Go Blind","A♭","130.859793186169","04:57"
"46","","Ben L'oncle Soul","Feeling Good","Gm","82.6541584158416","04:12"
"47","","Leftover Cuties","Clarity","G","83.8115109480371","04:22"
"48","Ladies Man","Pinetop Perkins","Kansas City","C","121","04:44"
"49","Unplugged at Caffe Calabria","Earl Thomas","Give Me One Reason","Fm","88.0771768707483","05:30"
"50","","Noah Guthrie","Sexy And I Know It","Em","116.923483146067","03:06"
"51","Let Them Talk","Hugh Laurie","Let Them Talk","C","73.8281469142314","04:10"
"52","Sugar in My Bowl","Di Anne Price","Baby, You Got What it Takes","D♯m/E♭m","115.335046728972","04:32"
"53","","Ruth Brown","5-10-15 Hours","D♭","121.900135922465","03:12"
"54","Didn't it rain","Hugh Laurie","Send Me To The 'Lectric Chair","Dm","73.6560834534264","05:27"

